太陽總輻射 (兆焦耳/平方米) - 滘西洲
Global Solar Radiation (MJ/m&sup2;) - Kau Sai Chau
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2008,12,16,14.56,C
2008,12,17,15.76,C
2008,12,18,16.50,C
2008,12,19,16.44,C
2008,12,20,16.56,C
2008,12,21,15.00,C
2008,12,22,14.72,C
2008,12,23,14.99,C
2008,12,24,9.29,C
2008,12,25,12.97,C
2008,12,26,8.53,C
2008,12,27,5.49,C
2008,12,28,2.97,C
2008,12,29,7.34,C
2008,12,30,4.03,C
2008,12,31,6.89,C
2009,1,1,16.59,C
2009,1,2,16.83,C
2009,1,3,13.86,C
2009,1,4,14.56,C
2009,1,5,16.55,C
2009,1,6,16.81,C
2009,1,7,14.85,C
2009,1,8,16.27,C
2009,1,9,16.05,C
2009,1,10,18.61,C
2009,1,11,17.42,C
2009,1,12,17.22,C
2009,1,13,16.89,C
2009,1,14,16.06,C
2009,1,15,16.41,C
2009,1,16,16.96,C
2009,1,17,18.32,C
2009,1,18,17.91,C
2009,1,19,17.78,C
2009,1,20,10.28,C
2009,1,21,17.44,C
2009,1,22,12.83,C
2009,1,23,4.88,C
2009,1,24,4.71,C
2009,1,25,7.44,C
2009,1,26,3.49,C
2009,1,27,2.64,C
2009,1,28,6.37,C
2009,1,29,15.79,C
2009,1,30,19.28,C
2009,1,31,16.36,C
2009,2,1,11.52,C
2009,2,2,18.54,C
2009,2,3,18.81,C
2009,2,4,12.48,C
2009,2,5,17.20,C
2009,2,6,14.19,C
2009,2,7,19.37,C
2009,2,8,15.86,C
2009,2,9,18.77,C
2009,2,10,14.77,C
2009,2,11,17.15,C
2009,2,12,14.00,C
2009,2,13,2.88,C
2009,2,14,6.87,C
2009,2,15,2.17,C
2009,2,16,2.13,C
2009,2,17,5.34,C
2009,2,18,15.55,C
2009,2,19,8.14,C
2009,2,20,17.36,C
2009,2,21,6.34,C
2009,2,22,3.77,C
2009,2,23,6.92,C
2009,2,24,7.77,C
2009,2,25,16.80,C
2009,2,26,3.96,C
2009,2,27,10.36,C
2009,2,28,3.54,C
2009,3,1,3.50,C
2009,3,2,5.74,C
2009,3,3,4.31,C
2009,3,4,2.03,C
2009,3,5,2.35,C
2009,3,6,5.04,C
2009,3,7,3.50,C
2009,3,8,2.58,C
2009,3,9,6.91,C
2009,3,10,4.32,C
2009,3,11,4.20,C
2009,3,12,4.18,C
2009,3,13,7.90,C
2009,3,14,22.73,C
2009,3,15,22.76,C
2009,3,16,19.89,C
2009,3,17,19.81,C
2009,3,18,15.53,C
2009,3,19,12.98,C
2009,3,20,14.81,C
2009,3,21,2.06,C
2009,3,22,6.29,C
2009,3,23,5.07,C
2009,3,24,2.89,C
2009,3,25,2.77,C
2009,3,26,2.32,C
2009,3,27,1.82,C
2009,3,28,3.47,C
2009,3,29,4.90,C
2009,3,30,9.01,C
2009,3,31,14.14,C
2009,4,1,15.12,C
2009,4,2,9.76,C
2009,4,3,6.08,C
2009,4,4,8.13,C
2009,4,5,14.30,C
2009,4,6,7.89,C
2009,4,7,5.09,C
2009,4,8,18.61,C
2009,4,9,19.20,C
2009,4,10,12.19,C
2009,4,11,19.78,C
2009,4,12,9.75,C
2009,4,13,16.85,C
2009,4,14,18.63,C
2009,4,15,7.75,C
2009,4,16,13.88,C
2009,4,17,18.72,C
2009,4,18,6.80,C
2009,4,19,2.44,C
2009,4,20,21.45,C
2009,4,21,11.45,C
2009,4,22,3.89,C
2009,4,23,3.62,C
2009,4,24,3.13,C
2009,4,25,3.44,C
2009,4,26,1.60,C
2009,4,27,16.23,C
2009,4,28,24.88,C
2009,4,29,19.43,C
2009,4,30,21.04,C
2009,5,1,26.47,C
2009,5,2,26.63,C
2009,5,3,23.17,C
2009,5,4,16.65,C
2009,5,5,27.81,C
2009,5,6,25.06,C
2009,5,7,27.68,C
2009,5,8,22.73,C
2009,5,9,26.66,C
2009,5,10,25.65,C
2009,5,11,22.59,C
2009,5,12,27.26,C
2009,5,13,25.61,C
2009,5,14,16.44,C
2009,5,15,19.33,C
2009,5,16,9.11,C
2009,5,17,23.02,C
2009,5,18,24.08,C
2009,5,19,24.54,C
2009,5,20,12.61,C
2009,5,21,16.55,C
2009,5,22,15.76,C
2009,5,23,1.02,C
2009,5,24,2.24,C
2009,5,25,5.98,C
2009,5,26,10.15,C
2009,5,27,8.68,C
2009,5,28,6.72,C
2009,5,29,3.62,C
2009,5,30,22.50,C
2009,5,31,13.09,C
2009,6,1,22.52,C
2009,6,2,14.87,C
2009,6,3,9.64,C
2009,6,4,20.23,C
2009,6,5,27.31,C
2009,6,6,26.02,C
2009,6,7,22.87,C
2009,6,8,15.23,C
2009,6,9,7.35,C
2009,6,10,17.27,C
2009,6,11,5.26,C
2009,6,12,7.43,C
2009,6,13,15.46,C
2009,6,14,9.53,C
2009,6,15,12.48,C
2009,6,16,9.27,C
2009,6,17,26.60,C
2009,6,18,23.60,C
2009,6,19,19.12,C
2009,6,20,21.66,C
2009,6,21,19.30,C
2009,6,22,5.53,C
2009,6,23,17.48,C
2009,6,24,13.39,C
2009,6,25,16.60,C
2009,6,26,15.12,C
2009,6,27,2.20,C
2009,6,28,8.91,C
2009,6,29,19.69,C
2009,6,30,25.29,C
2009,7,1,26.85,C
2009,7,2,23.88,C
2009,7,3,13.82,C
2009,7,4,4.18,C
2009,7,5,8.31,C
2009,7,6,20.56,C
2009,7,7,25.19,C
2009,7,8,26.30,C
2009,7,9,27.12,C
2009,7,10,26.07,C
2009,7,11,18.98,C
2009,7,12,21.52,C
2009,7,13,27.05,C
2009,7,14,15.98,C
2009,7,15,22.92,C
2009,7,16,23.44,C
2009,7,17,28.21,C
2009,7,18,14.53,C
2009,7,19,7.73,C
2009,7,20,19.53,C
2009,7,21,25.62,C
2009,7,22,22.75,C
2009,7,23,19.67,C
2009,7,24,18.69,C
2009,7,25,23.13,C
2009,7,26,19.14,C
2009,7,27,11.74,C
2009,7,28,14.99,C
2009,7,29,22.89,C
2009,7,30,16.53,C
2009,7,31,24.57,C
2009,8,1,24.09,C
2009,8,2,20.51,C
2009,8,3,17.50,C
2009,8,4,9.63,C
2009,8,5,6.29,C
2009,8,6,13.17,C
2009,8,7,20.92,C
2009,8,8,16.56,C
2009,8,9,14.65,C
2009,8,10,16.00,C
2009,8,11,8.88,C
2009,8,12,5.96,C
2009,8,13,5.42,C
2009,8,14,15.20,C
2009,8,15,23.86,C
2009,8,16,22.61,C
2009,8,17,15.72,C
2009,8,18,22.20,C
2009,8,19,25.07,C
2009,8,20,26.97,C
2009,8,21,26.12,C
2009,8,22,24.82,C
2009,8,23,21.35,C
2009,8,24,23.62,C
2009,8,25,17.94,C
2009,8,26,18.44,C
2009,8,27,25.34,C
2009,8,28,25.41,C
2009,8,29,23.20,C
2009,8,30,24.17,C
2009,8,31,23.26,C
2009,9,1,22.87,C
2009,9,2,22.11,C
2009,9,3,22.31,C
2009,9,4,20.22,C
2009,9,5,24.76,C
2009,9,6,23.65,C
2009,9,7,24.97,C
2009,9,8,23.56,C
2009,9,9,18.85,C
2009,9,10,15.00,C
2009,9,11,7.56,C
2009,9,12,19.46,C
2009,9,13,17.18,C
2009,9,14,6.57,C
2009,9,15,10.19,C
2009,9,16,13.67,C
2009,9,17,22.92,C
2009,9,18,22.18,C
2009,9,19,21.55,C
2009,9,20,13.67,C
2009,9,21,18.24,C
2009,9,22,15.40,C
2009,9,23,21.88,C
2009,9,24,21.02,C
2009,9,25,21.06,C
2009,9,26,21.98,C
2009,9,27,13.12,C
2009,9,28,1.53,C
2009,9,29,3.36,C
2009,9,30,5.48,C
2009,10,1,20.30,C
2009,10,2,17.98,C
2009,10,3,14.50,C
2009,10,4,20.90,C
2009,10,5,21.99,C
2009,10,6,19.65,C
2009,10,7,19.45,C
2009,10,8,18.69,C
2009,10,9,19.86,C
2009,10,10,20.46,C
2009,10,11,8.11,C
2009,10,12,7.28,C
2009,10,13,19.41,C
2009,10,14,5.24,C
2009,10,15,14.54,C
2009,10,16,17.29,C
2009,10,17,19.34,C
2009,10,18,21.12,C
2009,10,19,10.05,C
2009,10,20,4.75,C
2009,10,21,9.13,C
2009,10,22,16.11,C
2009,10,23,18.85,C
2009,10,24,16.53,C
2009,10,25,16.06,C
2009,10,26,17.65,C
2009,10,27,19.17,C
2009,10,28,18.78,C
2009,10,29,18.73,C
2009,10,30,18.27,C
2009,10,31,19.09,C
2009,11,1,18.58,C
2009,11,2,18.75,C
2009,11,3,15.32,C
2009,11,4,15.98,C
2009,11,5,14.98,C
2009,11,6,16.17,C
2009,11,7,11.83,C
2009,11,8,10.74,C
2009,11,9,12.44,C
2009,11,10,16.75,C
2009,11,11,17.18,C
2009,11,12,6.59,C
2009,11,13,16.23,C
2009,11,14,5.62,C
2009,11,15,1.83,C
2009,11,16,4.44,C
2009,11,17,4.43,C
2009,11,18,7.73,C
2009,11,19,16.98,C
2009,11,20,17.11,C
2009,11,21,8.60,C
2009,11,22,16.59,C
2009,11,23,17.39,C
2009,11,24,17.72,C
2009,11,25,16.47,C
2009,11,26,10.02,C
2009,11,27,12.11,C
2009,11,28,16.37,C
2009,11,29,12.73,C
2009,11,30,15.37,C
2009,12,1,15.99,C
2009,12,2,12.21,C
2009,12,3,15.88,C
2009,12,4,14.16,C
2009,12,5,16.17,C
2009,12,6,14.81,C
2009,12,7,2.02,C
2009,12,8,3.53,C
2009,12,9,2.13,C
2009,12,10,15.00,C
2009,12,11,14.38,C
2009,12,12,3.63,C
2009,12,13,15.09,C
2009,12,14,4.83,C
2009,12,15,2.39,C
2009,12,16,2.45,C
2009,12,17,3.80,C
2009,12,18,3.49,C
2009,12,19,5.98,C
2009,12,20,14.74,C
2009,12,21,12.19,C
2009,12,22,15.71,C
2009,12,23,10.03,C
2009,12,24,16.25,C
2009,12,25,13.13,C
2009,12,26,4.92,C
2009,12,27,1.65,C
2009,12,28,4.59,C
2009,12,29,1.01,C
2009,12,30,2.74,C
2009,12,31,3.68,C
2010,1,1,6.35,C
2010,1,2,3.79,C
2010,1,3,7.37,C
2010,1,4,13.93,C
2010,1,5,2.80,C
2010,1,6,1.95,C
2010,1,7,2.93,C
2010,1,8,7.30,C
2010,1,9,9.72,C
2010,1,10,6.94,C
2010,1,11,1.93,C
2010,1,12,16.38,C
2010,1,13,15.65,C
2010,1,14,13.36,C
2010,1,15,16.32,C
2010,1,16,13.94,C
2010,1,17,15.72,C
2010,1,18,17.19,C
2010,1,19,7.13,C
2010,1,20,4.20,C
2010,1,21,10.18,C
2010,1,22,4.87,C
2010,1,23,2.77,C
2010,1,24,2.96,C
2010,1,25,6.22,C
2010,1,26,3.43,C
2010,1,27,3.77,C
2010,1,28,7.55,C
2010,1,29,3.18,C
2010,1,30,7.93,C
2010,1,31,18.52,C
2010,2,1,15.93,C
2010,2,2,1.66,C
2010,2,3,1.78,C
2010,2,4,1.88,C
2010,2,5,1.87,C
2010,2,6,1.48,C
2010,2,7,0.83,C
2010,2,8,1.55,C
2010,2,9,2.90,C
2010,2,10,8.26,C
2010,2,11,11.71,C
2010,2,12,3.30,C
2010,2,13,1.95,C
2010,2,14,2.22,C
2010,2,15,2.04,C
2010,2,16,3.10,C
2010,2,17,***,
2010,2,18,1.86,#
2010,2,19,4.25,C
2010,2,20,9.60,C
2010,2,21,7.92,C
2010,2,22,3.19,C
2010,2,23,13.87,C
2010,2,24,9.22,C
2010,2,25,8.20,C
2010,2,26,10.74,C
2010,2,27,11.88,C
2010,2,28,7.10,C
2010,3,1,2.12,C
2010,3,2,8.25,C
2010,3,3,5.12,C
2010,3,4,6.79,C
2010,3,5,8.16,C
2010,3,6,6.49,C
2010,3,7,1.62,C
2010,3,8,1.19,C
2010,3,9,2.96,C
2010,3,10,22.07,C
2010,3,11,20.02,C
2010,3,12,2.54,C
2010,3,13,3.00,C
2010,3,14,2.94,C
2010,3,15,13.98,C
2010,3,16,3.31,C
2010,3,17,10.04,C
2010,3,18,18.34,C
2010,3,19,20.82,C
2010,3,20,8.15,C
2010,3,21,19.20,C
2010,3,22,13.00,C
2010,3,23,7.38,C
2010,3,24,12.35,C
2010,3,25,5.84,C
2010,3,26,21.24,C
2010,3,27,7.14,C
2010,3,28,21.07,C
2010,3,29,5.29,C
2010,3,30,2.84,C
2010,3,31,11.31,C
2010,4,1,11.26,C
2010,4,2,6.97,C
2010,4,3,2.15,C
2010,4,4,3.01,C
2010,4,5,2.33,C
2010,4,6,4.58,C
2010,4,7,1.46,C
2010,4,8,2.45,C
2010,4,9,8.98,C
2010,4,10,1.27,C
2010,4,11,2.21,C
2010,4,12,11.65,C
2010,4,13,11.88,C
2010,4,14,3.25,C
2010,4,15,1.25,C
2010,4,16,6.70,C
2010,4,17,7.37,C
2010,4,18,3.89,C
2010,4,19,7.65,C
2010,4,20,2.57,C
2010,4,21,18.13,C
2010,4,22,8.81,C
2010,4,23,21.07,C
2010,4,24,23.89,C
2010,4,25,6.67,C
2010,4,26,9.48,C
2010,4,27,13.21,C
2010,4,28,10.51,C
2010,4,29,4.79,C
2010,4,30,22.59,C
2010,5,1,20.29,C
2010,5,2,24.95,C
2010,5,3,22.44,C
2010,5,4,10.80,C
2010,5,5,12.92,C
2010,5,6,6.31,C
2010,5,7,8.39,C
2010,5,8,5.72,C
2010,5,9,20.04,C
2010,5,10,6.41,C
2010,5,11,16.77,C
2010,5,12,8.68,C
2010,5,13,4.87,C
2010,5,14,3.74,C
2010,5,15,4.49,C
2010,5,16,5.66,C
2010,5,17,7.00,C
2010,5,18,16.32,C
2010,5,19,8.61,C
2010,5,20,18.08,C
2010,5,21,14.00,C
2010,5,22,5.96,C
2010,5,23,9.03,C
2010,5,24,29.38,C
2010,5,25,28.42,C
2010,5,26,14.03,C
2010,5,27,6.96,C
2010,5,28,18.90,C
2010,5,29,9.37,C
2010,5,30,4.98,C
2010,5,31,4.47,C
2010,6,1,9.01,C
2010,6,2,1.59,C
2010,6,3,13.36,C
2010,6,4,13.38,C
2010,6,5,19.89,C
2010,6,6,20.51,C
2010,6,7,21.92,C
2010,6,8,14.00,C
2010,6,9,4.73,C
2010,6,10,4.63,C
2010,6,11,15.52,C
2010,6,12,13.15,C
2010,6,13,9.11,C
2010,6,14,12.68,C
2010,6,15,4.44,C
2010,6,16,9.34,C
2010,6,17,9.33,C
2010,6,18,15.09,C
2010,6,19,23.58,C
2010,6,20,16.84,C
2010,6,21,18.54,C
2010,6,22,18.66,C
2010,6,23,12.01,C
2010,6,24,7.99,C
2010,6,25,10.00,C
2010,6,26,2.76,C
2010,6,27,1.85,C
2010,6,28,2.80,C
2010,6,29,20.98,C
2010,6,30,29.11,C
2010,7,1,26.12,C
2010,7,2,25.74,C
2010,7,3,26.82,C
2010,7,4,27.74,C
2010,7,5,27.19,C
2010,7,6,23.30,C
2010,7,7,23.16,C
2010,7,8,27.72,C
2010,7,9,20.49,C
2010,7,10,24.34,C
2010,7,11,27.06,C
2010,7,12,28.18,C
2010,7,13,23.18,C
2010,7,14,24.29,C
2010,7,15,18.03,C
2010,7,16,21.41,C
2010,7,17,18.30,C
2010,7,18,27.32,C
2010,7,19,28.42,C
2010,7,20,21.27,C
2010,7,21,5.14,C
2010,7,22,9.90,C
2010,7,23,14.64,C
2010,7,24,19.58,C
2010,7,25,26.72,C
2010,7,26,22.33,C
2010,7,27,10.22,C
2010,7,28,1.20,C
2010,7,29,16.01,C
2010,7,30,23.40,C
2010,7,31,25.41,C
2010,8,1,28.71,C
2010,8,2,24.44,C
2010,8,3,27.08,C
2010,8,4,26.83,C
2010,8,5,21.17,C
2010,8,6,18.98,C
2010,8,7,19.57,C
2010,8,8,22.34,C
2010,8,9,24.47,C
2010,8,10,27.93,C
2010,8,11,19.84,C
2010,8,12,23.91,C
2010,8,13,24.96,C
2010,8,14,26.92,C
2010,8,15,20.64,C
2010,8,16,11.86,C
2010,8,17,26.30,C
2010,8,18,15.29,C
2010,8,19,17.38,C
2010,8,20,25.50,C
2010,8,21,26.40,C
2010,8,22,24.05,C
2010,8,23,19.00,C
2010,8,24,12.37,C
2010,8,25,15.47,C
2010,8,26,25.62,C
2010,8,27,26.48,C
2010,8,28,17.67,C
2010,8,29,22.41,C
2010,8,30,17.39,C
2010,8,31,18.34,C
2010,9,1,19.74,C
2010,9,2,8.02,C
2010,9,3,3.03,C
2010,9,4,7.74,C
2010,9,5,21.39,C
2010,9,6,22.82,C
2010,9,7,21.81,C
2010,9,8,21.82,C
2010,9,9,20.70,C
2010,9,10,18.07,C
2010,9,11,4.46,C
2010,9,12,8.66,C
2010,9,13,18.89,C
2010,9,14,13.23,C
2010,9,15,25.52,C
2010,9,16,25.56,C
2010,9,17,23.35,C
2010,9,18,19.12,C
2010,9,19,17.64,C
2010,9,20,4.72,C
2010,9,21,1.88,C
2010,9,22,6.05,C
2010,9,23,10.79,C
2010,9,24,23.91,C
2010,9,25,20.94,C
2010,9,26,18.41,C
2010,9,27,20.81,C
2010,9,28,23.62,C
2010,9,29,14.59,C
2010,9,30,16.42,C
2010,10,1,17.90,C
2010,10,2,21.00,C
2010,10,3,19.97,C
2010,10,4,10.16,C
2010,10,5,5.35,C
2010,10,6,7.91,C
2010,10,7,6.94,C
2010,10,8,11.39,C
2010,10,9,7.09,C
2010,10,10,5.34,C
2010,10,11,7.47,C
2010,10,12,20.44,C
2010,10,13,19.00,C
2010,10,14,16.67,C
2010,10,15,8.66,C
2010,10,16,12.01,C
2010,10,17,14.66,C
2010,10,18,19.17,C
2010,10,19,13.41,C
2010,10,20,14.58,C
2010,10,21,8.47,C
2010,10,22,6.24,C
2010,10,23,15.60,C
2010,10,24,16.50,C
2010,10,25,17.92,C
2010,10,26,6.76,C
2010,10,27,18.57,C
2010,10,28,20.46,C
2010,10,29,19.73,C
2010,10,30,19.47,C
2010,10,31,20.22,C
2010,11,1,19.89,C
2010,11,2,18.97,C
2010,11,3,12.73,C
2010,11,4,4.35,C
2010,11,5,3.12,C
2010,11,6,4.44,C
2010,11,7,17.53,C
2010,11,8,18.80,C
2010,11,9,17.96,C
2010,11,10,14.80,C
2010,11,11,19.03,C
2010,11,12,19.12,C
2010,11,13,12.93,C
2010,11,14,12.51,C
2010,11,15,15.14,C
2010,11,16,13.47,C
2010,11,17,16.78,C
2010,11,18,11.53,C
2010,11,19,15.91,C
2010,11,20,9.95,C
2010,11,21,17.52,C
2010,11,22,14.59,C
2010,11,23,14.28,C
2010,11,24,13.28,C
2010,11,25,16.01,C
2010,11,26,16.36,C
2010,11,27,15.55,C
2010,11,28,15.85,C
2010,11,29,13.39,C
2010,11,30,14.21,C
2010,12,1,13.75,C
2010,12,2,15.88,C
2010,12,3,16.07,C
2010,12,4,9.26,C
2010,12,5,16.88,C
2010,12,6,15.27,C
2010,12,7,11.78,C
2010,12,8,17.04,C
2010,12,9,16.10,C
2010,12,10,10.87,C
2010,12,11,4.09,C
2010,12,12,1.30,C
2010,12,13,4.69,C
2010,12,14,8.25,C
2010,12,15,0.97,C
2010,12,16,3.76,C
2010,12,17,18.66,C
2010,12,18,12.69,C
2010,12,19,14.80,C
2010,12,20,12.98,C
2010,12,21,10.61,C
2010,12,22,15.80,C
2010,12,23,15.50,C
2010,12,24,6.31,C
2010,12,25,2.90,C
2010,12,26,17.44,C
2010,12,27,17.58,C
2010,12,28,17.48,C
2010,12,29,16.83,C
2010,12,30,16.20,C
2010,12,31,16.45,C
2011,1,1,16.13,C
2011,1,2,4.87,C
2011,1,3,2.02,C
2011,1,4,5.44,C
2011,1,5,6.70,C
2011,1,6,10.82,C
2011,1,7,8.48,C
2011,1,8,14.69,C
2011,1,9,14.94,C
2011,1,10,14.59,C
2011,1,11,4.43,C
2011,1,12,3.30,C
2011,1,13,13.28,C
2011,1,14,14.49,C
2011,1,15,17.33,C
2011,1,16,13.79,C
2011,1,17,13.67,C
2011,1,18,14.71,C
2011,1,19,15.58,C
2011,1,20,7.20,C
2011,1,21,18.21,C
2011,1,22,4.66,C
2011,1,23,17.19,C
2011,1,24,12.31,C
2011,1,25,14.26,C
2011,1,26,17.14,C
2011,1,27,13.65,C
2011,1,28,7.00,C
2011,1,29,13.76,C
2011,1,30,12.63,C
2011,1,31,18.04,C
2011,2,1,14.35,C
2011,2,2,16.92,C
2011,2,3,17.80,C
2011,2,4,18.35,C
2011,2,5,18.97,C
2011,2,6,18.45,C
2011,2,7,16.53,C
2011,2,8,18.79,C
2011,2,9,16.04,C
2011,2,10,17.78,C
2011,2,11,2.91,C
2011,2,12,7.98,C
2011,2,13,1.25,C
2011,2,14,5.06,C
2011,2,15,1.91,C
2011,2,16,3.05,C
2011,2,17,4.77,C
2011,2,18,2.69,C
2011,2,19,1.61,C
2011,2,20,4.72,C
2011,2,21,5.76,C
2011,2,22,9.70,C
2011,2,23,15.22,C
2011,2,24,16.29,C
2011,2,25,15.32,C
2011,2,26,15.79,C
2011,2,27,17.62,C
2011,2,28,22.46,C
2011,3,1,8.82,C
2011,3,2,14.05,C
2011,3,3,18.36,C
2011,3,4,16.81,C
2011,3,5,6.27,C
2011,3,6,4.43,C
2011,3,7,21.00,C
2011,3,8,7.53,C
2011,3,9,4.00,C
2011,3,10,4.87,C
2011,3,11,7.90,C
2011,3,12,15.25,C
2011,3,13,20.54,C
2011,3,14,20.26,C
2011,3,15,4.47,C
2011,3,16,16.88,C
2011,3,17,8.30,C
2011,3,18,2.17,C
2011,3,19,2.31,C
2011,3,20,4.99,C
2011,3,21,12.86,C
2011,3,22,6.42,C
2011,3,23,8.48,C
2011,3,24,14.42,C
2011,3,25,16.68,C
2011,3,26,15.75,C
2011,3,27,4.39,C
2011,3,28,15.69,C
2011,3,29,12.09,C
2011,3,30,10.12,C
2011,3,31,16.09,C
2011,4,1,24.55,C
2011,4,2,24.34,C
2011,4,3,21.26,C
2011,4,4,3.48,C
2011,4,5,12.74,C
2011,4,6,17.20,C
2011,4,7,21.66,C
2011,4,8,21.99,C
2011,4,9,16.16,C
2011,4,10,24.25,C
2011,4,11,24.38,C
2011,4,12,11.51,C
2011,4,13,17.83,C
2011,4,14,25.66,C
2011,4,15,17.72,C
2011,4,16,17.73,C
2011,4,17,7.08,C
2011,4,18,13.64,C
2011,4,19,23.67,C
2011,4,20,14.53,C
2011,4,21,18.05,C
2011,4,22,16.23,C
2011,4,23,3.43,C
2011,4,24,26.03,C
2011,4,25,24.69,C
2011,4,26,23.70,C
2011,4,27,20.60,C
2011,4,28,4.98,C
2011,4,29,3.37,C
2011,4,30,6.75,C
2011,5,1,10.60,C
2011,5,2,17.92,C
2011,5,3,15.71,C
2011,5,4,8.54,C
2011,5,5,4.12,C
2011,5,6,14.39,C
2011,5,7,18.16,C
2011,5,8,21.25,C
2011,5,9,26.66,C
2011,5,10,22.27,C
2011,5,11,23.31,C
2011,5,12,25.18,C
2011,5,13,11.06,C
2011,5,14,4.85,C
2011,5,15,2.45,C
2011,5,16,4.59,C
2011,5,17,3.87,C
2011,5,18,26.23,C
2011,5,19,22.67,C
2011,5,20,23.25,C
2011,5,21,10.87,C
2011,5,22,2.41,C
2011,5,23,11.60,C
2011,5,24,5.74,C
2011,5,25,7.68,C
2011,5,26,22.26,C
2011,5,27,21.37,C
2011,5,28,25.69,C
2011,5,29,13.70,C
2011,5,30,26.77,C
2011,5,31,24.10,C
2011,6,1,23.50,C
2011,6,2,16.87,C
2011,6,3,19.96,C
2011,6,4,23.78,C
2011,6,5,28.02,C
2011,6,6,22.05,C
2011,6,7,20.41,C
2011,6,8,23.28,C
2011,6,9,23.47,C
2011,6,10,26.44,C
2011,6,11,17.97,C
2011,6,12,11.84,C
2011,6,13,20.54,C
2011,6,14,21.47,C
2011,6,15,23.73,C
2011,6,16,2.74,C
2011,6,17,6.18,C
2011,6,18,20.79,C
2011,6,19,26.33,C
2011,6,20,26.37,C
2011,6,21,18.36,C
2011,6,22,7.84,C
2011,6,23,9.11,C
2011,6,24,22.49,C
2011,6,25,25.40,C
2011,6,26,7.91,C
2011,6,27,13.61,C
2011,6,28,5.60,C
